Person ID,Message,Sentiment
1,I followed those and was not offered to speak with a rep. What number on the prompts should I select? ,Neutral
2,"Hi, I paid my payment 2 days ago and would be considered as a payment even my itâ€™s not my due date? For my credit card as an example.
",Negative
3,I just gotta let the world know. @CreditOneBank is the WORST financial institution in America. I hate them so much Â©,Negative
4,"@NASCARSW42 @KyleLarsonRacin @CreditOneBank @clovercommerce @AdventHealth @McDonalds @AdventHealth, its the car you won the AllStar race in!",Positive
5,"@NASCARSW42 @kyleLarsonRacin @CreditOneBank @clovercommerce @AdventHealth @McDonalds Whichever scheme he wins a points race in Iâ€™ve tried. Literally the same thing happens, no matter what number I call for credit one bank.",Negative
6,Checkered Flag! @JoshParker81 brings the No.42 @CreditOneBank Chevy home in 1@th. #eNASCARHeat | #P42KER,Positive
7,@NASCARSW42 @KyleLarsonRacin @CreditoneBgnk @clovercommerce @AdventHealth @McDonalds @McDonalds,Neutral
8,"I called to complain about my card, i tried to make a payment on Aug 1 and it would not let me, said nothing was due, then a few days later i get a message that i am over the credit limit and have fees. I tried to pay on the card before this happened. All your customer service â€˜said was sorry this happens there is nothing he can do to help me.",Negative
9,ch@CocaColaRacing @CreditOneBank @NASCAR,Neutral
10,https: //twitter.com/JohnPaysor/status/1159533290216394752/photo/1,Neutral
11,"@CreditOneBank My card still hasn't shown up in the mail, it's been 9 days or so since being approved",Negative
12,Try calling me again. Didnâ€™t not recognize the #,Neutral
13,"Hi, My card still hasn't shown up in the mail, it's been 9 days or so since being approved",Negative
14,@CreditOneBank Sent,Neutral
15,Thank you for your help. The explanation made the difference.,Positive
16,@CreditOneBank Your website needs to get it together so I cao pay my bill. Been trying to log on for an hour now.,Negative
17,@Cards2P @KyleLarsonRacin @CreditOneBank @CGRTeams @CGRnascar @low_nascar @dega_boy_87 @tntnetwork61 @Wabigama @DTyson15 @nolan_graphics @NDD_01_ @KEMMOCupSeries @The_SuperSquad_ Beautiful color chrome.,Positive
18,How do I speak directly to a representative?,Neutral
19,I want to make a out of U.S. purchase,Neutral
20,I called and the automated system doesnâ€™t give me any options about out of country transactions,Negative
21,Id like to speak directly to a representative but I donâ€™t hear any options,Negative
